K-VALUE,K-VALUE · หุ้นไทยเน้นคุณค่า (Value Stock),+8.1%,-11.5%,-1.5% เทียบ SET TRI,AUM ฿2.4 พันลบ. · NAV ฿11.60 · Avg P/E 11.2x · Avg P/B 1.0x,Dividend Yield 4.1% · จ่ายเงินปันผล,"SCB (7.5%), KTB (6.9%), BBL (6.2%), TCAP (5.1%), PTTGC (4.2%)",
,,,,,,,,
หุ้น,,,,,,,,
,,,,,,,,
อันดับ,ชื่อหุ้น,จำนวนกองทุนที่ถือ,,,,,,
1,PTT (ปตท.),3 กอง,,,,,,
2,ADVANC (แอดวานซ์ อินโฟร์ เซอร์วิส),3 กอง,,,,,,
3,DELTA (เดลต้า อีเลคโทรนิคส์),2 กอง,,,,,,
4,AOT (ท่าอากาศยานไทย),1 กอง,,,,,,
5,GULF (กัลฟ์ เอ็นเนอร์จี),1 กอง,,,,,,
,,,,,,,,
อันดับ,ชื่อหุ้น,น้ำหนักรวม (%),,,,,,
1,DELTA (เดลต้า อีเลคโทรนิคส์),18.5%,,,,,,
2,PTT (ปตท.),17.9%,,,,,,
3,ADVANC (แอดวานซ์ อินโฟร์ เซอร์วิส),16%,,,,,,
4,AOT (ท่าอากาศยานไทย),6.4%,,,,,,
5,GULF (กัลฟ์ เอ็นเนอร์จี),6.1%,,,,,,
,,,,,,,,
อันดับ,ชื่อหุ้น,Dividend Yield จริง,,,,,,
1,KTB (ธนาคารกรุงไทย),~7.0% - 7.5%,,,,,,
2,ADVANC (แอดวานซ์ อินโฟร์ เซอร์วิส),\~8.0% - 8.5% ,,,,,,
3,AMATA (อมตะ คอร์ปอเรชัน),~5.0% - 5.5%,,,,,,
4,INTUCH (อินทัช โฮลดิ้งส์),~5.0% - 6.0%,,,,,,
5,KBANK (ธนาคารกสิกรไทย),~5.5% - 6.3%,,,,,,
,,,,,,,,
หุ้น,ผลตอบแทนกองทุน 1 ปี,Market Cap (USD),Max Drawdown,P/E Ratio,P/B Ratio,น้ำหนักรวม,เงินปันผล (Yield),เทียบจุดอ้างอิง (SET TRI)*
**PTT**,+10.2%,~$33.2 B,-18.5%,~11.8x,~0.9x,17.90%,~5.5%,**+1.2%**
**ADVANC**,+38.5%,~$33.5 B,-12.4%,~22.5x,~8.4x,16.00%,~8.5%,**+29.5%**
**DELTA**,+85.2%,~$99.1 B,-42.8%,~90.0x,~25.0x,18.50%,~0.4%,**+76.2%**
**AOT**,+12.4%,~$27.3 B,-24.5%,~49.7x,~6.9x,6.40%,~1.4%,**+3.4%**
**GULF**,+40.5%,~$30.2 B,-18.2%,~26.5x,~3.2x,6.10%,~4.8%,**+31.5%**
**KTB**,+28.4%,~$10.6 B,-14.6%,~7.2x,~0.7x,-,~7.2%,**+19.4%**
**AMATA**,+14.8%,~$0.96 B,-28.1%,~10.5x,~1.1x,-,~5.2%,**+5.8%**
**INTUCH**,+22.1%,~$9.8 B,-11.5%,~21.0x,~3.8x,-,~5.5%,**+13.1%**
**KBANK**,+32.6%,~$18.1 B,-15.2%,~8.5x,~0.6x,-,~6.0%,**+23.6%**
